X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
-77.2841650999999,38.9394657930001,2463,Wolf Trap,Census Designated Place,VA,51,5187240, ,6,16540,16131,13222,264,25,2054,6,655,82,478,7980,8151,821,1373,1544,1180,509,725,2029,3257,2401,1537,621,134,44.5,44.6,44.5,5250,3.07,209,299,2178,2209,41,150,4739,3.23,5361,111,5003,247
-77.114850089,38.7332459240001,2464,Woodlawn,Census Designated Place,VA,51,5187430, ,6,21940,20804,6984,6997,168,1675,27,7590,3785,1168,10252,10552,1782,1501,1359,1388,1455,3760,3232,3143,1963,810,323,88,32.8,31.9,33.7,7051,2.95,1093,1153,1703,1275,252,908,4771,3.47,7491,440,3908,3143
-77.612422975,37.692510623,2465,Wyndham,Census Designated Place,VA,51,5187960, ,6,10752,9785,7921,293,15,1381,0,178,21,154,4782,5003,706,1127,1101,713,207,613,1932,1855,850,434,198,49,37.5,37.8,37.2,3162,3.09,190,250,1612,882,42,131,2721,3.4,3266,104,2803,359
-123.832967496,46.981592993,2466,Aberdeen,city,WA,53,5300100, ,6,16793,16896,13584,135,617,319,49,2678,1359,833,8421,8475,1262,1111,1132,1210,1250,2348,2004,2275,2112,1192,669,331,35.6,34.8,36.6,6476,2.56,1195,1218,1129,1458,312,659,4020,3.1,7338,862,3568,2908
-122.613996558,48.5161266850001,2467,Anacortes,city,WA,53,5301990, ,6,16858,15778,14433,104,154,305,17,794,251,514,7557,8221,846,824,878,834,695,1675,1703,2224,2491,1828,1194,586,47.1,45.2,48.7,6980,2.25,1065,1425,1106,2486,149,414,4461,2.75,7680,700,4554,2426
-122.119934911,48.1916823340001,2468,Arlington,city,WA,53,5302585, ,6,19152,17926,15352,212,255,584,60,1700,707,756,8716,9210,1359,1397,1411,1395,1058,2518,2722,2393,1644,1015,675,339,34.3,33.1,35.5,6563,2.7,945,1061,1779,1546,259,569,4520,3.21,6929,366,4109,2454
-122.639416787,47.302500792,2469,Artondale,Census Designated Place,WA,53,5302910, ,6,13271,12653,11567,74,87,273,47,587,137,468,6218,6435,597,918,1124,989,464,930,1706,2290,2090,1001,431,113,42.9,42.5,43.3,4633,2.73,412,480,1403,1807,98,230,3727,3.03,4944,311,3908,725
-122.2466645,47.3192276440001,2470,Auburn,city,WA,53,5303180, ,7,81032,70180,49452,3469,1608,6251,1150,9032,4431,3819,34678,35502,5201,4850,5003,5431,5126,10001,9536,10447,7447,3885,2338,915,34.5,33.5,35.4,26058,2.67,4306,4464,5954,6215,934,2365,17114,3.22,27834,1776,15488,10570
-122.537846369,47.6447857850001,2471,Bainbridge Island,city,WA,53,5303736, ,6,23995,23025,20963,100,111,742,42,887,170,897,11127,11898,931,1551,1773,1619,562,1262,2778,4272,4499,2223,1026,529,47.6,46.9,48.3,9470,2.41,1155,1688,2386,3312,155,467,6611,2.88,10584,1114,7222,2248
-122.539363163,45.775421216,2472,Battle Ground,city,WA,53,5304475, ,6,19768,17571,15904,138,146,330,60,1150,377,616,8609,8962,1696,1704,1693,1484,1076,2533,2626,2020,1351,779,417,192,30,28.1,31.3,5652,3.09,519,747,2103,1269,177,534,4365,3.53,5952,300,4012,1640
